doc_id,condition,sample,scope,precision,recall,f1,window_diff,boundary_similarity,hyp_ref_ratio,n_ref_boundaries,n_hyp_boundaries,flagged,collapse_rate,share_words_in_runs,total_window_draws
SBC045,A,2,within_turn,0.4010,0.7875,0.5314,0.5293,0.4200,1.9638,800,1571,False,0.2500,0.0078,40
SBC045,A,2,all_boundaries,0.4933,0.8435,0.6225,0.4196,0.5065,1.7099,1086,1857,False,0.2500,0.0078,40
SBC045,A,3,within_turn,0.3757,0.8350,0.5182,0.5887,0.3947,2.2225,800,1778,False,0.2500,0.0078,40
SBC045,A,3,all_boundaries,0.4622,0.8785,0.6057,0.4645,0.4771,1.9006,1086,2064,False,0.2500,0.0078,40
SBC045,A,4,within_turn,0.3633,0.8625,0.5113,0.5980,0.3712,2.3737,800,1899,True,0.2500,0.0078,40
SBC045,A,4,all_boundaries,0.4467,0.8987,0.5968,0.4862,0.4518,2.0120,1086,2185,True,0.2500,0.0078,40
SBC045,B,0,within_turn,0.4415,0.8263,0.5755,0.4936,0.4450,1.8713,800,1497,False,0.2000,0.0027,40
SBC045,B,0,all_boundaries,0.5311,0.8720,0.6602,0.3771,0.5308,1.6418,1086,1783,False,0.2000,0.0027,40
SBC045,B,1,within_turn,0.4285,0.8313,0.5655,0.5095,0.4335,1.9400,800,1552,False,0.2000,0.0027,40
SBC045,B,1,all_boundaries,0.5174,0.8757,0.6505,0.3979,0.5187,1.6924,1086,1838,False,0.2000,0.0027,40
SBC045,B,2,within_turn,0.4103,0.8087,0.5444,0.5223,0.4158,1.9712,800,1577,False,0.2000,0.0027,40
SBC045,B,2,all_boundaries,0.5008,0.8591,0.6328,0.4105,0.5021,1.7155,1086,1863,False,0.2000,0.0027,40
SBC045,B,3,within_turn,0.4268,0.8200,0.5614,0.5127,0.4295,1.9212,800,1537,False,0.2000,0.0027,40
SBC045,B,3,all_boundaries,0.5167,0.8674,0.6476,0.3979,0.5156,1.6786,1086,1823,False,0.2000,0.0027,40
SBC045,B,4,within_turn,0.4511,0.7950,0.5756,0.4578,0.4608,1.7625,800,1410,False,0.2000,0.0027,40
SBC045,B,4,all_boundaries,0.5436,0.8490,0.6628,0.3530,0.5481,1.5617,1086,1696,False,0.2000,0.0027,40
SBC016,A,0,within_turn,0.3142,0.6116,0.4152,0.5221,0.3149,1.9464,672,1308,False,0.2750,0.0053,40
SBC016,A,0,all_boundaries,0.5692,0.8195,0.6718,0.4187,0.5515,1.4398,1446,2082,False,0.2750,0.0053,40
SBC016,A,1,within_turn,0.2735,0.6116,0.3779,0.5880,0.2928,2.2366,672,1503,False,0.2750,0.0053,40
SBC016,A,1,all_boundaries,0.5204,0.8195,0.6366,0.4826,0.5204,1.5747,1446,2277,False,0.2750,0.0053,40
SBC016,A,2,within_turn,0.2863,0.7039,0.4071,0.6187,0.2951,2.4583,672,1652,False,0.2750,0.0053,40
SBC016,A,2,all_boundaries,0.5140,0.8624,0.6441,0.4991,0.5105,1.6777,1446,2426,False,0.2750,0.0053,40
SBC016,A,3,within_turn,0.3279,0.6622,0.4386,0.5077,0.3252,2.0193,672,1357,False,0.2750,0.0053,40
SBC016,A,3,all_boundaries,0.5720,0.8430,0.6816,0.4030,0.5550,1.4737,1446,2131,False,0.2750,0.0053,40
SBC016,A,4,within_turn,0.2766,0.6696,0.3915,0.6087,0.2909,2.4211,672,1627,True,0.2750,0.0053,40
SBC016,A,4,all_boundaries,0.5098,0.8465,0.6363,0.4939,0.5094,1.6604,1446,2401,True,0.2750,0.0053,40
SBC016,B,0,within_turn,0.3684,0.6935,0.4812,0.4532,0.3644,1.8824,672,1265,False,0.2000,0.0054,40
SBC016,B,0,all_boundaries,0.6081,0.8575,0.7116,0.3566,0.5917,1.4101,1446,2039,False,0.2000,0.0054,40
SBC016,B,2,within_turn,0.3829,0.6741,0.4884,0.4395,0.3782,1.7604,672,1183,False,0.2000,0.0054,40
SBC016,B,2,all_boundaries,0.6270,0.8485,0.7211,0.3466,0.6087,1.3534,1446,1957,False,0.2000,0.0054,40
SBC016,B,4,within_turn,0.4146,0.7336,0.5298,0.4221,0.4040,1.7693,672,1189,False,0.2000,0.0054,40
SBC016,B,4,all_boundaries,0.6454,0.8762,0.7433,0.3235,0.6262,1.3575,1446,1963,False,0.2000,0.0054,40
SBC016,B,1,within_turn,0.3827,0.6920,0.4928,0.4238,0.3628,1.8080,672,1215,True,0.2000,0.0054,40
SBC016,B,1,all_boundaries,0.6229,0.8568,0.7214,0.3298,0.5936,1.3755,1446,1989,True,0.2000,0.0054,40
SBC016,B,3,within_turn,0.3633,0.7158,0.4820,0.4585,0.3559,1.9702,672,1324,True,0.2000,0.0054,40
SBC016,B,3,all_boundaries,0.5982,0.8679,0.7082,0.3601,0.5804,1.4509,1446,2098,True,0.2000,0.0054,40
SBC014,A,0,within_turn,0.3086,0.7227,0.4325,0.6494,0.3464,2.3422,862,2019,False,0.1556,0.0052,45
SBC014,A,0,all_boundaries,0.3938,0.7914,0.5259,0.5241,0.4252,2.0096,1146,2303,False,0.1556,0.0052,45
SBC014,A,1,within_turn,0.3549,0.6740,0.4650,0.5451,0.3891,1.8991,862,1637,False,0.1556,0.0052,45
SBC014,A,1,all_boundaries,0.4503,0.7548,0.5641,0.4276,0.4752,1.6763,1146,1921,False,0.1556,0.0052,45
SBC014,A,2,within_turn,0.3215,0.6172,0.4227,0.5895,0.3344,1.9200,862,1655,False,0.1556,0.0052,45
SBC014,A,2,all_boundaries,0.4208,0.7120,0.5290,0.4687,0.4240,1.6920,1146,1939,False,0.1556,0.0052,45
SBC014,A,4,within_turn,0.3516,0.6613,0.4591,0.5375,0.3798,1.8805,862,1621,False,0.1556,0.0052,45
SBC014,A,4,all_boundaries,0.4483,0.7452,0.5598,0.4321,0.4671,1.6623,1146,1905,False,0.1556,0.0052,45
SBC014,A,3,within_turn,0.3357,0.7239,0.4587,0.5758,0.3630,2.1566,862,1859,True,0.1556,0.0052,45
SBC014,A,3,all_boundaries,0.4237,0.7923,0.5521,0.4716,0.4444,1.8700,1146,2143,True,0.1556,0.0052,45
SBC014,B,0,within_turn,0.4166,0.7738,0.5416,0.4940,0.4184,1.8573,862,1601,False,0.4222,0.0073,45
SBC014,B,0,all_boundaries,0.5045,0.8298,0.6275,0.3800,0.5015,1.6449,1146,1885,False,0.4222,0.0073,45
SBC014,B,1,within_turn,0.4127,0.7320,0.5278,0.4782,0.4180,1.7738,862,1529,False,0.4222,0.0073,45
SBC014,B,1,all_boundaries,0.5047,0.7984,0.6185,0.3718,0.5036,1.5820,1146,1813,False,0.4222,0.0073,45
SBC014,B,3,within_turn,0.4025,0.8329,0.5427,0.5291,0.3999,2.0696,862,1784,False,0.4222,0.0073,45
SBC014,B,3,all_boundaries,0.4845,0.8743,0.6235,0.4135,0.4791,1.8045,1146,2068,False,0.4222,0.0073,45
SBC014,B,4,within_turn,0.4269,0.7854,0.5531,0.4821,0.4235,1.8399,862,1586,False,0.4222,0.0073,45
SBC014,B,4,all_boundaries,0.5139,0.8386,0.6373,0.3731,0.5063,1.6318,1146,1870,False,0.4222,0.0073,45
SBC014,B,2,within_turn,0.4011,0.8538,0.5458,0.5367,0.4006,2.1288,862,1835,True,0.4222,0.0073,45
SBC014,B,2,all_boundaries,0.4814,0.8901,0.6248,0.4184,0.4783,1.8490,1146,2119,True,0.4222,0.0073,45
SBC052,A,2,within_turn,0.3654,0.7327,0.4876,0.5333,0.3869,2.0052,969,1943,False,0.2600,0.0069,50
SBC052,A,2,all_boundaries,0.5048,0.8292,0.6276,0.4281,0.5164,1.6425,1516,2490,False,0.2600,0.0069,50
SBC052,A,3,within_turn,0.3612,0.7905,0.4958,0.5799,0.3804,2.1889,969,2121,False,0.2600,0.0069,50
