file,line,context
SBC015,225,'870\t177.015\tJOANNE:\t\x00hurch things.\n176.9'
SBC016,675,"""since you've bought \x00ouple pieces here,\n"""
SBC018,399,"'70.605\t472.160\t\t... \x00oming in yesterday,'"
SBC020,270,"'h,\n497.545\t499.543\t\t\x00ontrols our lives,\n'"
SBC020,813,'439.505\t\t... we ... \x00annot find words to'
SBC028,1164,"'7.400\t\t.. really .. \x00orrect,\n1127.400\t11'"
