category,n_truncated,share_of_truncated,n_all_words,truncation_rate
iu_initial,707,0.18808193668528864,47877,0.014767007122417863
iu_internal,995,0.26469805799414736,135454,0.007345667163760391
iu_final,1656,0.4405426975259378,47877,0.03458863337301836
iu_initial_and_final,401,0.10667730779462622,15766,0.025434479259165293
